Sr#,Category Id,Name,Path,Synonyms
1,3,Mobiles,Mobiles & Tablets/Mobiles,
2,7,Tablets,Mobiles & Tablets/Tablets,
3,48,Gadgets,Mobiles & Tablets/Gadgets,
4,49,Landline Phones,Mobiles & Tablets/Landline Phones,
5,57,Traditional Laptops,Computers & Laptops/Laptops/Traditional Laptops,
6,58,Gaming,Computers & Laptops/Laptops/Gaming,
7,79,Gadgets,Computers & Laptops/Computer Accessories/Gadgets,
8,80,Laptop Screen Filters,Computers & Laptops/Computer Accessories/Laptop Screen Filters,
9,81,Power Cord & Adaptors,Computers & Laptops/Computer Accessories/Power Cord & Adaptors,
10,86,Sleeves & Cases,Computers & Laptops/Computer Accessories/Bags & Cases/Sleeves & Cases,
11,87,Laptop Batteries,Computers & Laptops/Computer Accessories/Laptop Batteries,
12,88,Blank Media,Computers & Laptops/Computer Accessories/Blank Media,
13,89,Cooling PadsCooling Stands,Computers & Laptops/Computer Accessories/Cooling PadsCooling Stands,
14,90,External DVD Writers,Computers & Laptops/Computer Accessories/External DVD Writers,
15,91,External Hard Drives,Computers & Laptops/Storage/External Hard Drives,
16,99,Laptop Stands,Computers & Laptops/Computer Accessories/Laptop Stands,
17,102,Monitors,Computers & Laptops/Computer Accessories/Monitors,
18,105,TV Tuners,Computers & Laptops/Computer Accessories/TV Tuners,
19,106,Webcams,Computers & Laptops/Computer Accessories/Webcams,
20,108,Desktop Casings,Computers & Laptops/Computer Components/Desktop Casings,
21,111,Cooling Fans,Computers & Laptops/Computer Components/Fans & Heatsinks/Cooling Fans,
22,112,Heatsinks,Computers & Laptops/Computer Components/Fans & Heatsinks/Heatsinks,
23,113,Graphic Cards,Computers & Laptops/Computer Components/Graphic Cards,
24,114,Internal Hard Drives,Computers & Laptops/Storage/Internal Hard Drives,
25,115,Front Bay Devices,Computers & Laptops/Computer Components/Front Bay Devices,
26,116,Motherboards,Computers & Laptops/Computer Components/Motherboards,
27,117,Power Supply Units,Computers & Laptops/Computer Components/Power Supply Units,
28,118,Processors,Computers & Laptops/Computer Components/Processors,
29,119,RAM,Computers & Laptops/Computer Components/RAM,
30,122,Network Gadgets,Computers & Laptops/Network Components/Network Gadgets,
31,123,Homeplugs & Powerlines,Computers & Laptops/Network Components/Homeplugs & Powerlines,
32,124,Access Points,Computers & Laptops/Network Components/Access Points,
33,126,Data Cards,Computers & Laptops/Network Components/Data Cards,
34,127,Network Interface Cards,Computers & Laptops/Network Components/Network Interface Cards,
35,128,Routers,Computers & Laptops/Network Components/Routers,
36,129,Switches,Computers & Laptops/Network Components/Switches,
37,130,Wireless USB Adapters,Computers & Laptops/Network Components/Wireless USB Adapters,
38,136,Printer Stands,Computers & Laptops/Printers & Accessories/Printer Stands,
39,141,Scanners,Computers & Laptops/Scanners,
40,143,Educational Media,Computers & Laptops/Software/Educational Media,
41,144,Productivity,Computers & Laptops/Software/Productivity,
42,145,Operating System,Computers & Laptops/Software/Operating System,
43,146,Security Software,Computers & Laptops/Software/Security Software,
44,150,Cables,TV Audio Video Gaming & Wearables/Audio/Audio Accessories/Cables,
45,151,Cases and Covers,TV Audio Video Gaming & Wearables/Audio/Audio Accessories/Cases and Covers,
46,152,Microphones,TV Audio Video Gaming & Wearables/Audio/Audio Accessories/Microphones,
47,153,Screen Guards,TV Audio Video Gaming & Wearables/Audio/Audio Accessories/Screen Guards,
48,155,In-Ear Headphones,TV Audio Video Gaming & Wearables/Audio/Headphones & Headsets/In-Ear Headphones,
49,156,Over-The-Ear Headphones,TV Audio Video Gaming & Wearables/Audio/Headphones & Headsets/Over-The-Ear Headphones,
50,157,On-ear Headphones,TV Audio Video Gaming & Wearables/Audio/Headphones & Headsets/On-ear Headphones,
51,158,Bluetooth Headsets,TV Audio Video Gaming & Wearables/Audio/Headphones & Headsets/Bluetooth Headsets,
52,159,Wired Headsets,TV Audio Video Gaming & Wearables/Audio/Headphones & Headsets/Wired Headsets,
53,161,Cd Player,TV Audio Video Gaming & Wearables/Audio/Home Audio/Cd Player,
54,162,Docking Stations,TV Audio Video Gaming & Wearables/Audio/Home Audio/Docking Stations,
55,163,FM,TV Audio Video Gaming & Wearables/Audio/Home Audio/FM,
56,164,Hi-Fi Systems,TV Audio Video Gaming & Wearables/Audio/Home Audio/Hi-Fi Systems,
57,165,Home Audio & Mp3 Players Accessories,TV Audio Video Gaming & Wearables/Audio/Home Audio/Home Audio & Mp3 Players Accessories,
58,168,Av Receivers,TV Audio Video Gaming & Wearables/Audio/Home Audio/Av Receivers,
59,171,Karaoke Players,TV Audio Video Gaming & Wearables/Audio/Home Audio/Karaoke Players,
60,176,Turntables,TV Audio Video Gaming & Wearables/Audio/Home Audio/Turntables,
61,177,Voice Recorders,TV Audio Video Gaming & Wearables/Audio/Home Audio/Voice Recorders,
62,183,Cases and Covers,TV Audio Video Gaming & Wearables/Audio/Portable Players/MP3 Player Accessories/Cases and Covers,
63,184,Screen Guards,TV Audio Video Gaming & Wearables/Audio/Portable Players/MP3 Player Accessories/Screen Guards,
64,185,iPods,TV Audio Video Gaming & Wearables/Audio/Portable Players/iPods,
65,186,MP3/MP4,TV Audio Video Gaming & Wearables/Audio/Portable Players/MP3/MP4,
66,187,MP4  Video MP3 Players,TV Audio Video Gaming & Wearables/Audio/Portable Players/MP4  Video MP3 Players,
67,189,Blu Ray & DVD Players,TV Audio Video Gaming & Wearables/Video/Blu Ray & DVD Players,
68,194,Projectors,TV Audio Video Gaming & Wearables/Video/Projectors,
69,199,3D Televisions,TV Audio Video Gaming & Wearables/Televisions/3D Televisions,
70,200,CRT Televisions,TV Audio Video Gaming & Wearables/Televisions/CRT Televisions,
71,201,LCD Televisions,TV Audio Video Gaming & Wearables/Televisions/LCD Televisions,
72,202,LED Televisions,TV Audio Video Gaming & Wearables/Televisions/LED Televisions,
73,203,Plasma Televisions,TV Audio Video Gaming & Wearables/Televisions/Plasma Televisions,
74,204,Smart Televisions,TV Audio Video Gaming & Wearables/Televisions/Smart Televisions,
75,206,Cables,TV Audio Video Gaming & Wearables/Video/Video Accessories/Cables,
76,207,Remote Controllers,TV Audio Video Gaming & Wearables/Video/Video Accessories/Remote Controllers,
77,208,Video Glasses,TV Audio Video Gaming & Wearables/Video/Video Accessories/Video Glasses,
78,209,Voltage Stabilizers & Guards,TV Audio Video Gaming & Wearables/Video/Video Accessories/Voltage Stabilizers & Guards,
79,211,Video Glasses,TV Audio Video Gaming & Wearables/Gadgets/Video Glasses,
80,242,Bridge,Cameras/Bridge,
81,245,Mirrorless,Cameras/Mirrorless,
82,249,Action Cameras & Camcorders,Cameras/Gadgets & Other Cameras/Action Cameras & Camcorders,
83,250,Film Cameras,Cameras/Gadgets & Other Cameras/Film Cameras,
84,251,Toy Cameras,Cameras/Gadgets & Other Cameras/Toy Cameras,
85,252,Underwater Cameras,Cameras/Gadgets & Other Cameras/Underwater Cameras,
86,253,Mini Cameras,Cameras/Gadgets & Other Cameras/Mini Cameras,
87,254,Lomography,Cameras/Gadgets & Other Cameras/Lomography,
88,257,Batteries,Cameras/Camera Accessories/Batteries,
89,258,Battery Chargers,Cameras/Camera Accessories/Battery Chargers,
90,260,Camera Cases Covers and Bags,Cameras/Camera Accessories/Camera Cases Covers and Bags,
91,261,Camera Remote Controls,Cameras/Camera Accessories/Camera Remote Controls,
92,262,Dry Box,Cameras/Camera Accessories/Dry Box,
93,264,Flashes,Cameras/Camera Accessories/Flashes,
94,272,Straps,Cameras/Camera Accessories/Straps,
95,274,Films,Cameras/Camera Accessories/Films,
96,278,Blenders,Home Appliances/Small Kitchen Appliances/Food Preparation/Blenders,
97,280,Mixers,Home Appliances/Small Kitchen Appliances/Food Preparation/Mixers,
98,281,Grinders,Home Appliances/Small Kitchen Appliances/Food Preparation/Grinders,
99,289,Electric Kettles,Home Appliances/Small Kitchen Appliances/Electric Kettles & Thermo Pots/Electric Kettles,
100,290,Thermo Pots,Home Appliances/Small Kitchen Appliances/Electric Kettles & Thermo Pots/Thermo Pots,
101,291,Electric Knives,Home Appliances/Small Kitchen Appliances/Electric Knives & Sharpeners/Electric Knives,
102,305,Juicers & Fruit Extractors,Home Appliances/Small Kitchen Appliances/Juicers & Fruit Extractors,
